match_id,date,season,batting_team,opponent,venue,over,ball,bowler,batter_runs,total_runs,is_wicket,dismissal_kind,arm,bowl_type
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",3,1,KK Ahmed,1,1,False,,left,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",4,3,A Kamboj,4,4,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",4,4,A Kamboj,4,4,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",4,5,A Kamboj,0,0,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",4,6,A Kamboj,6,6,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",5,4,Noor Ahmad,6,6,False,,left,spin
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",5,5,Noor Ahmad,6,6,False,,left,spin
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",5,6,Noor Ahmad,2,2,False,,left,spin
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",6,2,A Kamboj,0,0,True,caught,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,2,Mohammed Siraj,4,4,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,3,Mohammed Siraj,0,0,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,4,Mohammed Siraj,4,4,False,,right,pace
